STATE,COUNTY_CODE,COUNTY,TRACT,pop_tot,insured,uninsured,pct_unins,pct_insur,med_age,age_undr25,age_25_64,age_65over,pct_undr25,pct_25_64,pct_65over,labor_frc,employed,unemployed,pct_empl,pct_unemp,married,pct_mar,white,pct_white,hisp,pct_hisp,med_income
Arizona,13,Maricopa County,71504,3549,3371,178,0.0501549732,0.9498450268,73.1,0,856,2693,0,0.2411947027,0.7588052973,537,400,137,0.7448789572,0.2551210428,2103,0.5925612849,3451,0.9723865878,31,0.0087348549,37061
Arizona,13,Maricopa County,71505,6679,6187,447,0.0673801628,0.9326198372,70.1,387,2050,4242,0.0579428058,0.3069321755,0.6351250187,1619,1515,104,0.9357628166,0.0642371834,3280,0.5069551777,6053,0.9062733942,470,0.0703698158,37380
Arizona,13,Maricopa County,71506,4075,3944,131,0.0321472393,0.9678527607,73.5,102,795,3178,0.0250306748,0.1950920245,0.7798773006,466,430,36,0.9227467811,0.0772532189,2392,0.5895982253,3673,0.9013496933,279,0.0684662577,37626
Arizona,13,Maricopa County,71509,6407,5145,1250,0.1954652072,0.8045347928,40.3,2099,3414,894,0.3276104261,0.5328546902,0.1395348837,3216,3113,103,0.9679726368,0.0320273632,2737,0.5346747412,4583,0.7153113782,656,0.1023880131,80250
Arizona,13,Maricopa County,71510,4541,4276,260,0.057319224,0.942680776,42.6,1504,2442,595,0.3312045805,0.5377670117,0.1310284078,2426,2288,138,0.9431162407,0.0568837593,2225,0.5853722705,3391,0.7467518168,523,0.1151728694,99761
Arizona,13,Maricopa County,71511,3387,3050,337,0.0994980809,0.9005019191,39.8,997,1842,548,0.2943607913,0.5438441098,0.1617950989,1802,1645,157,0.9128745838,0.0871254162,1397,0.4830567082,2261,0.6675524063,419,0.1237082964,55625
Arizona,13,Maricopa County,71512,6478,5949,529,0.0816610065,0.9183389935,39.6,1846,4112,520,0.2849644952,0.634763816,0.0802716888,3866,3606,260,0.9327470253,0.0672529747,2549,0.4775196703,4883,0.7537820315,965,0.1489657302,88534
Arizona,13,Maricopa County,71513,1670,1521,149,0.0892215569,0.9107784431,45,557,841,272,0.3335329341,0.5035928144,0.1628742515,882,837,45,0.9489795918,0.0510204082,775,0.5615942029,1272,0.7616766467,261,0.1562874252,92161
Arizona,13,Maricopa County,71514,4464,3846,603,0.1355360755,0.8644639245,39.2,1586,2416,462,0.3552867384,0.541218638,0.1034946237,2572,2402,170,0.933903577,0.066096423,1823,0.5268786127,3492,0.7822580645,609,0.1364247312,80769
Arizona,13,Maricopa County,71515,3465,3273,133,0.0390487375,0.9609512625,47.9,940,1420,1105,0.2712842713,0.4098124098,0.3189033189,1550,1390,153,0.8967741935,0.0987096774,1412,0.4837273039,2594,0.7486291486,519,0.1497835498,56071
Arizona,13,Maricopa County,71516,3227,2750,276,0.0912095175,0.9087904825,65.1,645,966,1616,0.1998760459,0.2993492408,0.5007747134,1217,1164,53,0.9564502876,0.0435497124,1113,0.3636066645,2629,0.8146885652,273,0.0845986985,34135
Arizona,13,Maricopa County,71517,4343,3807,536,0.1234169929,0.8765830071,33.5,1381,2580,382,0.3179829611,0.5940594059,0.087957633,2365,2136,229,0.9031712474,0.0968287526,1842,0.53562082,2891,0.6656688925,971,0.2235781718,67500
Arizona,13,Maricopa County,71600,3686,3017,588,0.1631067961,0.8368932039,44.8,974,1828,884,0.2642430819,0.495930548,0.23982637,1599,1245,354,0.7786116323,0.2213883677,1145,0.3709102689,2057,0.5580575149,1423,0.3860553445,27770
Arizona,13,Maricopa County,71701,2885,2501,270,0.0974377481,0.9025622519,30,1247,1309,329,0.4322357019,0.4537261698,0.1140381283,1223,1125,98,0.9198691742,0.0801308258,1065,0.525147929,2018,0.6994800693,752,0.2606585789,60250
Arizona,13,Maricopa County,71702,3031,2922,109,0.0359617288,0.9640382712,73.3,0,768,2263,0,0.2533817222,0.7466182778,526,364,162,0.6920152091,0.3079847909,1545,0.5097327615,2788,0.9198284395,188,0.0620257341,32847
